source_id,system_id,system_name,domain,paper_title,publication_date,venue_or_source,authors,affiliation_mix,industry_authors,academic_authors,source_type,grading,what_rl_controlled,state,action,reward,training_data,training_time_period,validation_mode,online_or_offline_learning,simulator_used,field_trial,ab_tested,deployment_scope,baseline_or_counterfactual,metrics_collected,reported_successes,reported_failures_or_regressions,dollar_value_or_business_value,hard_problem_quote,deployment_quote,why_hard_notes,integration_constraints,safety_or_guardrails,evidence_notes,open_questions,prose_status,review_status
youtube-recs,youtube-recs,YouTube top-K off-policy REINFORCE recommender,Recommendation,Top-K Off-Policy Correction for a REINFORCE Recommender System,2019-02-11,WSDM 2019,Minmin Chen; Alex Beutel; Paul Covington; Sagar Jain; Francois Belletti; Ed H. Chi,industry only,"All authors; Google, Inc.",not reported,conference paper,Gold,"Neural top-K video candidate generator, not final ranking or page composition","Continuous user state from historical interactions and context, represented with a recurrent model",Video or item recommendation from a catalog with millions of items,Immediate user activity signal; live results focus on ViewTime; non-clicked recommended videos receive zero reward; long-term reward aggregated over 4-10 hours,Logged implicit feedback from previous and mixed recommender policies; exploratory traffic slice added for one experiment,Experiments ran multiple days; model trained continuously with new events lag under 24 hours; fixed historical calendar not reported,Simulations plus multiple live YouTube randomized experiments,Off-policy training from logged data; production experiments with continuous retraining; no real-time online policy updates,Simulation used to understand top-K correction; authors say realistic recommender simulation data is nonviable,yes,yes,Production RNN candidate generator in use at YouTube; one of many candidate generators; candidates scored by a separate ranking model,"Deterministic versus stochastic serving; reward-weighted control versus off-policy correction; standard off-policy versus top-K correction; K=16 production model versus K=1, K=2, K=32, and cap e3 versus e5",ViewTime; videos viewed; nomination distribution by rank; reward over 4-10 hours; user activity signals,Exploration data increased ViewTime by 0.07 percent; standard off-policy increased videos viewed by 0.53 percent with no significant ViewTime change; top-K correction increased ViewTime by 0.85 percent and decreased videos viewed by 0.16 percent; K=8 follow-up increased ViewTime by 0.15 percent,Standard off-policy had no significant ViewTime change; K=1 lost 0.66 percent ViewTime versus K=16; K=2 was 0.35 percent worse than K=16; cap e5 lost 0.52 percent ViewTime,not reported,simulation for generating realistic recommendation data nonviable,production RNN candidate generation model in use at YouTube,Enormous nonstationary action space; sparse implicit feedback; shifting preferences; logged feedback biased by historical policies; real reward requires recommendations to real users,Candidate generation only; downstream separate ranking model; outputs shown on Homepage or watch-page side panel; model is one of many generators,Small stochastic exploration bucket; same reward function for control and test; importance-weight capping; no unconstrained end-to-end recommender agent,"Primary source reports production top-K recommender at YouTube, simulations, and live experiments; effects are component tests rather than additive gains",No dollar value reported; exact traffic scale of each live experiment not reported; no independent external audit,drafted_first_pass,ready_for_user_review
meta-horizon,meta-horizon,Facebook Horizon notification policies,Notifications,Horizon: Facebook's Open Source Applied Reinforcement Learning Platform,2019,arXiv:1811.00260; ICML RL4RealLife Workshop 2019,Jason Gauci; Edoardo Conti; Yitao Liang; Kittipat Virochsiri; Yuchen He; Zachary Kaden; Vivek Narayanan; Xiaohui Ye; Zhengxing Chen; Scott Fujimoto,mostly industry,"All authors list Facebook; Scott Fujimoto also lists Mila, McGill","Scott Fujimoto lists Mila, McGill",workshop platform paper,Gold,Discrete-action DQN policy for whether to send or drop notification candidates; Horizon is the production RL platform around it,Person and notification-candidate features; page-administrator variant uses hundreds of features,Send notification or drop notification,"Interactions and activity on Facebook, with a penalty for sending notifications to control volume","Logged Facebook production data transformed into MDP transition records through the Spark Timeline pipeline; initial model learned from a non-RL production policy, then from traffic exposed to the RL model",Multiple weeks for page-administrator notifications; daily recurring updates for the push-notification model; exact calendar window not reported,Counterfactual policy evaluation plus a real A/B test for push-notification optimization; production deployment observations,"Initial offline batch RL from logged off-policy production data, followed by daily retraining from model-exposed traffic",No production simulator reported; paper says applied settings usually lack a simulator; custom and Gym environments are used for tests,yes,yes,Facebook production notifications for certain notification types; model package deployed through Caffe2 to thousands of machines,Prior supervised notification system based on CTR and meaningful-interaction predictions; previous production policy; CPE estimators and A/B control,"Activity; meaningful interactions; notification quality; CTR; daily, weekly, and monthly metrics; cumulative reward; TD-loss; MC-loss; CPE estimates","Real A/B test showed the RL model outperforming the non-RL control; certain notification policies significantly improved activity and meaningful interactions; page-admin model improved daily, weekly, and monthly metrics without sacrificing notification quality",No numeric regression table reported; source warns that ill-formulated RL problems can regress online metrics; fixed-batch off-policy RL can suffer extrapolation error; older page-admin supervised models traded activity against CTR,not reported,experiments must be done with care because they don't run in a simulator,significantly outperformed and replaced supervised learning systems at Facebook,"Large production datasets, delayed feedback, no safe simulator, action effects on real users, and fragile MDP formulation make the problem hard",Spark Timeline data join; feature normalization; action-propensity logging; ONNX export to Caffe2; PID controller keeps action distribution close to the previous production policy,Counterfactual policy evaluation before deployment; data-understanding checks for MDP validity; action exploration during serving; PID threshold control; unit and integration tests,Primary source proves Horizon was developed and used at Facebook and reports notification RL replacing supervised systems; public numeric effect sizes are not disclosed; ABR mention is not detailed enough for a core deployment claim,"Exact effect sizes, traffic allocation, notification subtypes, and current production status are not reported; no independent audit",not_started,ready_for_user_review
meta-bidding,meta-bidding,Meta production bidding-policy optimization,Ads and bidding,Offline Reinforcement Learning for Optimizing Production Bidding Policies,2023,arXiv:2310.09426,Dmytro Korenkevych; Frank Cheng; Artsiom Balakir; Alex Nikulkov; Lingnan Gao; Zhihao Cen; Zuobing Xu; Zheqing Zhu,industry only,All authors; AI at Meta,not reported,arXiv preprint,Gold,Parameters of an existing production auto-bidding base policy; the deployed object was not a new neural bidder,"Campaign-level observations such as budget consumption, opportunity progress, and past bid information; full auction market state is only partially observed","Scalar base-policy bidding control used across auctions in a time step, then scaled by expected conversion rate inside the production auction system",Aggregated value of auction outcomes won by the campaign at each time step; production metric is a proxy for aggregated impression value,"Real production data from about 200,000 week-long ad campaigns, about 1.2 billion time steps, generated by the default production policy with small Gaussian exploration noise",Two-week production data collection on a small percentage of traffic; each production A/B test ran for one week,"High-fidelity internal simulator for hyperparameter and checkpoint selection, followed by two large-scale online A/B tests",Offline RL from logged production data using modified Conservative Q-Learning; no online exploration by an under-trained learned policy,"Yes; internal high-fidelity bidding simulator with 100 campaign configurations, one-day simulated campaigns, minute-level actions, and about 400,000 offline episodes",yes,yes,Real Meta production auto-bidding system; optimized base-policy parameters deployed and evaluated online in large-scale A/B tests,Highly tuned production base bidding policy with default parameters; pre-test and back-test against the original base policy,Main internal performance metric proxying aggregated impression value; revenue; impressions; simulation return and critic prediction diagnostics,"Simulator CQL penalty alpha 0.1 gave stable gains above 0.5 percent after 400,000 gradient steps; production pre-test gained 0.17 percent with 95 percent CI 0.05 to 0.3 over about 50 billion impressions; production back-test gained 0.16 percent with 95 percent CI 0.03 to 0.27 over about 50 billion impressions; both tests also showed revenue gains","Exploration noise sigma_beta 0.05 caused about a 0.5 percent online performance drop during data collection, near the acceptable limit; small CQL penalty was unstable, large penalty was too restrictive; public paper reports limited production ablations because A/B slots were scarce",Exact dollar value not reported; source says slightly suboptimal policies can cause millions of dollars in losses within hours at production scale,unsafe to deploy an under-trained agent in a production environment,deployed the trained parameters of the base policy part and evaluated them online in a series of A/B tests,"Thousands of auctions per second, budget constraints across campaign episodes, partial observability, advertiser funds at risk, and costly A/B tests make direct online RL unsafe and expensive",Actor mean is the differentiable production base policy; neural variance and critic networks are training aids; only optimized base-policy parameters are deployed; expected-conversion-rate scaling remains part of production auction mechanics,Initialize from default production policy; collect data with small clipped multiplicative exploration noise; train offline with conservative Q-learning; use simulator for checkpoint choice; preserve explainable base-policy parameterization and avoid neural-network serving costs,"Primary source proves production data collection, offline RL training, deployment of optimized base-policy parameters, and two statistically significant production A/B tests; it does not prove a neural RL policy served bids online","Exact product surface, traffic fraction, dollar value, and current production status are not disclosed; performance metric is internal and only described as a proxy to aggregated impression value",drafted_first_pass,ready_for_user_review
alibaba-rtb,alibaba-rtb,Alibaba sponsored-search real-time bidding,Ads and bidding,Deep Reinforcement Learning for Sponsored Search Real-Time Bidding,2018,Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,Jun Zhao; Guang Qiu; Ziyu Guan; Wei Zhao; Xiaofei He,industry and academic,Jun Zhao and Guang Qiu; Alibaba Group,Ziyu Guan and Wei Zhao; Xidian University; Xiaofei He; Zhejiang University,conference paper,Gold,"Hour-level parameter or model choice for sponsored-search real-time bidding, not each impression bid directly","Daily episode state grouped into 24 hourly steps: remaining budget, time period, and aggregated auction features such as clicks, impressions, cost, CTR, CVR, and PPC",Set the parameter alpha of a linear real-time bidding model for the hour; the bidding model then produces impression-level bids using predicted conversion rate,"Purchase amount gained in the step, with evaluation focused on purchase amount per cost under a cost constraint",Alibaba search auction logs plus simulator-generated trial-and-error data; 1000 large ads covering about 100 million auctions per day; about 200 billion simulated auctions for RL training,"Offline log collections from two days in late December 2017; online multi-agent A/B test on February 5, 2018; one-day-ahead data collection for online training",Offline simulated evaluation on logged auction data plus standard online A/B tests with real advertisers and auctions,DQN-style learning in simulator and distributed training; trained models used online to generate real bidding decisions; no random online exploration reported,Yes; simulator built from complete auction logs and predicted conversion behavior to support RL exploration and trial-and-error training,yes,yes,Alibaba e-commerce search auction platform; SS-RTB system deployed for online evaluation with real advertisers and auctions,Keyword-level bidding baseline; auction-level MDP and robust MDP offline comparisons; RMDP and M-RMDP online comparisons against keyword bidding,Purchase amount per cost; conversion rate; return on investment; pay per click; cost; offline train and test performance,"Online single-agent RMDP improved purchase amount per cost by 35.04 percent, CVR by 23.11 percent, ROI by 21.38 percent, and PPC by -5.16 percent versus keyword bidding; online multi-agent M-RMDP improved purchase amount per cost by 13.01 percent, ROI by 39.12 percent, CVR by 12.62 percent, and PPC by -0.74 percent versus keyword bidding",Auction-level MDP overfit the training day and averaged -10.06 percent on offline test data; RMDP performance dropped in the 1000-ad online setting compared with the 10-ad single-agent setting because competition among ads affected performance,Absolute values not disclosed because of Alibaba business policy; paper reports only relative improvements versus keyword bidding,state transition probabilities vary between two days,deployed the SS-RTB system in the e-commerce search auction platform of Alibaba,"Sponsored search auctions have stochastic query sequences, multiple keyword bids per ad, changing cross-day transition dynamics, budget constraints, and many competing ads","Control-by-model architecture: RL selects an hourly bidding-model parameter, while the real-time auction engine sends impression features to the bidding model and receives bid prices online",RL exploration is handled in a simulator because random bidding predictions in the online system are unaffordable; hourly aggregation reduces cross-day environment instability; multi-agent variant combines competitive and cooperative rewards,"Primary source reports deployment in Alibaba search auction platform, real advertisers and auctions, one-day-ahead training data for online use, and standard online A/B tests; absolute baseline values are withheld","Traffic allocation, duration of the 10-ad online tests, durability after February 2018, absolute business values, and independent replication are not disclosed",drafted_first_pass,ready_for_user_review
taobao-rltv,taobao-rltv,Taobao RL-LTV cold-start recommendation,Recommendation and e-commerce cold start,Reinforcement Learning to Optimize Lifetime Value in Cold-Start Recommendation,2021,Proceedings of the 30th ACM International Conference on Information and Knowledge Management,Luo Ji; Qi Qin; Bingqing Han; Hongxia Yang,industry and academic,"Luo Ji; Bingqing Han; Hongxia Yang; DAMO Academy, Alibaba Group; Qi Qin work done during Alibaba internship",Qi Qin; Peking University,conference paper,Gold,"Item-level lifetime-value ranking score for cold-start recommendation, combined with a conventional CTR ranking score; formal price-discount action was read-only in the live experiment","Item-level life-stage observations including time on market, current and accumulated PV, IPV, SLS, interested-user crowd properties, item inherent features, trend factors, and recurrent hidden state",Formal action contains an RL ranking score y_rl and a price-discount parameter p; in the live A/B test only y_rl took effect and p was controlled by another group,"ROI-like item-level reward based on next-step item page views relative to current recommendation page-view investment; cumulative LTV evaluates PV, IPV, and GMV over daily item episodes",Taobao user logs aggregated by item and day into item episodes; offline LTV recognition uses five consecutive days; live policy is warmed up from offline training and updated daily,"Live A/B test began January 26, 2021 and lasted one week; daily item-level update frequency",Offline LTV recognition and ablation analysis plus live Taobao A/B test against the production Vanilla-CTR ranking baseline,Off-policy actor-critic with LSTM using itemwise episodic recurrent deterministic policy gradient; online ranking is real-time but RL training and updates are daily,No simulator reported; source emphasizes logs aggregated by item and day and live A/B constraints,yes,yes,Taobao cold-start recommendation ranking through a dual-rank module combining the existing CTR score with the RL-LTV score,"Production Vanilla-CTR ranking baseline; offline Empirical and supervised LSTM baselines; RL-LTV ablations without item inherent features, trend factors, or recurrent component","PV; IPV; GMV; global PV and IPV; offline RMSE, MAE, NDCG@10, NDCG@20, NDCG@50 for LTV recognition; CTR AUC sensitivity to ranking mixture weight","Live cold-start items: RL-LTV improved IPV by 8.67 percent and GMV by 18.03 percent relative to Vanilla-CTR, with PV at -1.19 percent; offline RL-LTV outperformed Vanilla-CTR, Empirical, and LSTM on NDCG@10, NDCG@20, and NDCG@50 for LTV recognition",Global performance at the end of the experiment was slightly lower on PV (-0.55 percent) and IPV (-0.60 percent) versus Vanilla-CTR; RL-LTV without the recurrent component had smaller live gains; pricing action was not controlled by RL in the live experiment,GMV improved 18.03 percent for cold-start items in the live test; absolute GMV value not disclosed,"trial-and-error behavior of RL might harm the system performance, or affect the user satisfaction",algorithm is deployed into production and improvements of 8 . 67% and 18 . 03% on IPV and GMV for cold-start items are observed,Cold-start items lack interaction history; mature items get exposure bias advantages; product life dynamics unfold daily while online ranking serves in real time; arbitrary live baselines are hard to launch on a platform with billions of users and items,Dual-rank integration with existing CTR ranking; RL score mixed with CTR score through critic-derived weight alpha; daily item-level RL updates rather than millisecond serving-time learning; price-discount action controlled outside this RL system,Limited live experiment scale and depth due to customer experience and revenue risk; cold-start item groups were separated so item-based metrics could be compared fairly; mixture weight bounded between 0 and 0.2,"Primary source reports production deployment, Taobao live A/B test, dual-rank integration, and live constraints; it supports RL ranking investment for cold-start items but not live RL price control","Traffic allocation, exact number of items and users in the A/B test, absolute GMV, long-run persistence, and durability after the one-week test are not disclosed",drafted_first_pass,ready_for_user_review
didi-dispatch,didi-dispatch,DiDi scalable RL dispatch,Marketplace dispatch,Reinforcement Learning in the Wild: Scalable RL Dispatching Algorithm Deployed in Ridehailing Marketplace,2022,Proceedings of the 28th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,Soheil Sadeghi Eshkevari; Xiaocheng Tang; Zhiwei Qin; Jinhan Mei; Cheng Zhang; Qianying Meng; Jia Xu,industry only,All authors; DiDi Labs and Didi Chuxing,not reported,conference paper,Gold,Value-informed ride-hailing order dispatch through graph edge utilities and online spatial value updates inside a maximum bipartite matching dispatcher,"Encoded driver location or spatial grid, with tabular spatial value functions and real-time order-driver assignment information","Driver-order assignment recommendations selected through maximum bipartite matching; RL supplies state values, residual-value terms, smoothed rewards, completion-probability-adjusted utilities, and update rules","Trip fare or driver income, smoothed by spatial rolling averages to reduce noise from dynamic pricing and incentives; performance also tracks completion rate and answer rate",Real-time trip requests and driver-order assignment streams for online TD value updates; historical data trains completion-probability classifiers; offline simulation uses DiDi real-world operational data,Two-week A/B testing campaign in multiple international cities; full deployment began in late December 2021 in one major international city,"Offline simulation with real-world DiDi data, full-scale A/B testing in multiple cities, and synthetic difference-in-differences analysis after full deployment","Online temporal-difference value updating in pseudo-online batches; low-latency dispatch runs every 2 seconds, while value and parameter updates run every 10 seconds",Yes; internal simulation environment executes dispatch strategies in cities and dates using real-world daily operation data,yes,yes,"DiDi international ride-hailing markets; full-scale deployment in one major international city as primary dispatch mode, handling hundreds of thousands of daily requests",Myopic business-standard maximum matching baseline; V1D3 and CVNet-B offline comparisons; A/B time-flipping control intervals; synthetic difference-in-differences counterfactual across 37 cities,"Total driver income; completion rate; answer rate; anonymized primary performance metric after full deployment; low-latency calls, graph edges, and throughput measures","A/B weighted average improvements of 1.342 percent driver income, 0.422 percent completion rate, and 0.296 percent answer rate; full-deployment synthetic difference-in-differences analysis reports nearly 5.3 percent improvement in the primary metric; low-latency module averaged about 200 calls per second without backlog or delay","A/B effects were marginal or negative in smaller cities: City V had -0.739 percent income, -0.822 percent completion rate, and -0.867 percent answer rate; City VI had -1.102 percent completion rate and -0.300 percent answer rate; LM-UCB graph pruning was not deployed at large scale because real-time global feedback was hard to query",Driver income improved 1.342 percent on weighted average in A/B tests; absolute dollar value not disclosed,requires both low latency and high throughput,launched in one of the major international markets as the primary mode of dispatch,Supply and demand are nonstationary across space and time; dispatch needs second-level latency; cancellations occur after assignment; raw prices include dynamic pricing and incentives; region-specific constraints and sparse small-city markets affect results,Existing batching and Hungarian maximum matching remain in the low-latency path; RL value updates and smoothing run in a separate high-throughput module; business constraints customize corner cases such as new drivers and long-waiting orders,Completion-probability adjustment; reward smoothing; graph edge standardization; adaptive learning rates; separation of low-latency dispatch from high-throughput updates; limited A/B version constrained by business rules,"Primary source proves online A/B tests in multiple DiDi cities and full-scale deployment since late December 2021; full-deployment performance evidence is synthetic difference-in-differences, not randomized A/B","Exact city names, absolute income values, traffic randomization details, long-run post-publication status, and independent replication are not disclosed",drafted_first_pass,ready_for_user_review
didi-ride-hailing-dispatch,didi-dispatch,Ride-Hailing Order Dispatching at DiDi via RL,Marketplace dispatch support,Ride-Hailing Order Dispatching at DiDi via Reinforcement Learning,2021,INFORMS Journal on Applied Analytics,Zhiwei Qin; Xiaocheng Tang; Yan Jiao; Fan Zhang; Zhe Xu; Hongtu Zhu; Jieping Ye,industry only,All authors; DiDi Labs and Didi Chuxing,not reported,journal article,Gold,Long-term driver-location value term served inside DiDi order-dispatch combinatorial optimizer; RL changed matching edge weights rather than replacing the optimizer,"Driver spatiotemporal state, represented by location in a hexagonal grid and time buckets; CVNet variants add contextual and transferable features","System assigns a driver to an order, leaves the driver idle, or allows cruising; production policy is generated by batched linear assignment over order-driver pairs","Driver income from completed trips, equivalent to trip price up to a fixed share; passenger-side metrics include pickup distance, response rate, and fulfillment rate","Trip and idle-movement data for drivers, for example one month for TD(0); CVNet uses real trip training data, simulated experience augmentation, and transfer learning across cities",Research began in 2017; TD(0) production deployment and CVNet A/B tests are reported as of the 2021 publication; exact test calendar not disclosed,Historical-order replay simulation plus production A/B tests using time-slice rotation because two dispatch policies cannot run independently in the same city at the same time,"Value functions are trained and updated offline with a Spark ETL pipeline, then served online inside the combinatorial optimizer",Yes; historical passenger orders replayed by day with simulated driver trajectories and behavior for policy evaluation and hyperparameter search,yes,yes,DiDi production order dispatch; combinatorial optimizer serves all DiDi markets; TD(0) generalized policy iteration in production in more than 20 major Chinese cities; CVNet A/B tested in additional cities,Distance-based combinatorial optimization baseline using negative pickup distance edge weights; time-slice A/B rotation with three-hour intervals; simulation baselines include pickup-distance minimization and DQN variants,Total driver income; order response rate; fulfillment rate; pickup distance; passenger waiting experience proxies; simulation total driver income,"TD(0) generalized policy iteration entered production in more than 20 major Chinese cities after successful A/B tests; CVNet production A/B tests in additional cities showed 0.5 to 2 percent improvement over baseline in total driver income, order response rate, and fulfillment rate; authors translate the aggregate impact into hundreds of thousands of orders per day across China","Time-slice A/B tests can leak long-horizon benefits across alternating policy intervals; tabular TD suffers dimensionality, sparsity, and lack of cross-city transfer; DQN was less robust than CVNet in simulation; exact city-level negative results are not reported in this paper",0.5 to 2 percent improvements in production metrics and potential equivalence of hundreds of thousands of orders per day across China; exact monetary value not disclosed,"system response time, reliability, and multiple objectives",served online within the combinatorial optimizer,"Huge dispatch scale, stochastic supply and demand, system latency, hundreds of cities, high QPS, changing business rules, and interference between policies in one marketplace make direct policy testing difficult",Keeps batched combinatorial matching and business-rule postprocessing; learns value functions offline; serves trained values inside the optimizer; A/B testing uses time-slice rotation rather than independent user randomization,Production baseline favors pickup-distance edge weights to avoid long pickups and repeated neglect of short trips; rule-based eligibility and priority constraints remain postprocessing hooks; only one dispatch policy controls the city at a time during tests,"Primary source supports DiDi production lineage before the later KDD full-scale RLW deployment; it proves deployed RL value terms inside dispatch optimization, but does not provide the later full-scale international deployment throughput numbers","Exact A/B dates, pilot-city list, traffic volume per test, city-level results, and current production status are not disclosed; some detailed results are deferred to cited prior DiDi papers",drafted_first_pass,ready_for_user_review
didi-cvnet,didi-dispatch,CVNet multi-driver order dispatch,Marketplace dispatch support,A Deep Value-Network Based Approach for Multi-Driver Order Dispatching,2019,Proceedings of the 25th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,Xiaocheng Tang; Zhiwei Qin; Fan Zhang; Zhaodong Wang; Yintai Ma; Zhe Xu; Hongtu Zhu; Jieping Ye,industry and academic,"Xiaocheng Tang; Zhiwei Qin; Fan Zhang; Zhe Xu; Hongtu Zhu; Jieping Ye; AI Labs, DiDi Chuxing or DiDi Chuxing",Zhaodong Wang; Washington State University; Yintai Ma; Northwestern University,conference paper,Gold support,"Neural state-value estimates for multi-driver order dispatch, used to compute matching utilities inside DiDi order-driver assignment rather than replacing the matching optimizer","Driver location, raw timestamp, and contextual features including dynamic supply-demand features and static features such as day of week, service statistics, and holiday indicators",Temporally extended dispatch option moving a driver from origin to destination through a trip assignment or idle movement; production planning solves batched driver-order assignment,Trip fee or total driver income over the option duration; idle movement receives zero reward; online metrics also include answer rate and finish rate,"One month of driver trajectories and contextual features collected from three Chinese cities, with tens of millions of transitions and feature rows",One-month training data; online A/B tests reported for three Chinese cities; exact calendar dates not reported,Offline simulations with real DiDi data plus real-world online A/B tests on DiDi platform,"Offline policy evaluation/value-network training from historical trajectories; trained value model used in online planning, with a distilled value function for missing real-time destination features",Yes; realistic simulator initialized with historical drivers and orders and periodic order-driver matching using KM/Hungarian assignment,yes,yes,DiDi ride-dispatching platform; online A/B tests in three Chinese cities against the online production dispatching policy; support evidence for the broader DiDi dispatch system,"Online production dispatching policy; simulation baselines include myopic distance-based matching, tabular value function, DQN, CVNet Basic, CVNet, and transfer-learning variants",Total driver income; order answer rate; order finish rate; pickup distance in transfer simulations; robustness and value-distribution diagnostics,"Online A/B tests report relative gains for City B of 0.60 percent answer rate, 0.49 percent finish rate, and 0.73 percent TDI; City C of 1.16 percent, 1.11 percent, and 0.93 percent; City D of 1.39 percent, 1.20 percent, and 1.65 percent; simulations report CVNet gains of 1 to 15 percent over baseline TDI and average gains of 3 to 8 percent across days",DQN underperformed in City A simulation; paper attributes this to lack of robustness treatment and the single-driver assumption; online experiment used CVNet Basic rather than full CVNet due to online system restrictions,Total driver income improved by up to 1.65 percent in reported city-level online A/B results; absolute income or dollar value not disclosed,The production environment is intrinsically multi-agent with multiple drivers fulfilling passengers orders at the same time.,We conduct real-world experiments through DiDi's platform and report online A/B testing results in Table 2.,"Multi-driver marketplace coordination, temporally extended trips, nonstationary supply and demand, contextual features unavailable at destination time, and unstable neural value approximation all affect dispatch quality",CVNet supplies value estimates used as utility scores in a standard matching problem; a distilled value network handles unavailable real-time dynamic destination features; production planning still solves driver-order assignment with feasibility constraints,"Cerebellar embedding, hierarchical hexagon coarse coding, Lipschitz regularization, context randomization, and distillation are used to stabilize value estimates before they affect matching decisions",Primary source reports online A/B tests on DiDi platform and describes how CVNet is embedded into the multi-driver matching planner; it is supporting evidence for the DiDi dispatch lineage rather than the chapter canonical full-scale deployment case,"Exact A/B dates, traffic allocation, city names, long-run durability, absolute business value, and whether full CVNet rather than CVNet Basic entered production are not disclosed",drafted_first_pass,ready_for_user_review
didi-mean-field-ridesharing,didi-dispatch,Mean-field multi-agent ridesharing dispatch,Marketplace dispatch support,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,not_started,pending_dataset
lyft-rl-matching,lyft-rl-matching,Lyft driver-rider RL matching,Marketplace dispatch comparison,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,not_started,pending_dataset
